ts,action,side,requested_position_ratio,filled_position_ratio,price,fee,slippage,notional,margin_required,realized_pnl,reason_code
2026-01-12 11:00:00+00:00,CLOSE,FLAT,0.0,0.0,90394.6,0.00047999999999999996,0.0,0.0,0.0,0.0,CLOSE_CRASH_FAILED
2026-01-12 12:00:00+00:00,HOLD,FLAT,0.0,0.0,90573.9,0.0,0.0,0.0,0.0,0.0,HOLD_NO_ENTRY
2026-01-12 13:00:00+00:00,HOLD,FLAT,0.0,0.0,90741.6,0.0,0.0,0.0,0.0,0.0,HOLD_NO_ENTRY
2026-01-12 14:00:00+00:00,HOLD,FLAT,0.0,0.0,90596.7,0.0,0.0,0.0,0.0,0.0,HOLD_NO_ENTRY
2026-01-12 15:00:00+00:00,HOLD,FLAT,0.0,0.0,90852.7,0.0,0.0,0.0,0.0,0.0,HOLD_NO_ENTRY
2026-01-12 16:00:00+00:00,HOLD,FLAT,0.0,0.0,91618.6,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-12 17:00:00+00:00,HOLD,FLAT,0.0,0.0,92078.9,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-12 18:00:00+00:00,HOLD,FLAT,0.0,0.0,91469.9,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-12 19:00:00+00:00,HOLD,FLAT,0.0,0.0,91648.2,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-12 20:00:00+00:00,HOLD,FLAT,0.0,0.0,91821.9,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-12 21:00:00+00:00,HOLD,FLAT,0.0,0.0,91446.5,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-12 22:00:00+00:00,HOLD,FLAT,0.0,0.0,91005.6,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-12 23:00:00+00:00,HOLD,FLAT,0.0,0.0,91203.9,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-13 00:00:00+00:00,HOLD,FLAT,0.0,0.0,91252.5,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-13 01:00:00+00:00,HOLD,FLAT,0.0,0.0,91436.4,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-13 02:00:00+00:00,HOLD,FLAT,0.0,0.0,91157.3,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-13 03:00:00+00:00,HOLD,FLAT,0.0,0.0,91093.5,0.0,0.0,0.0,0.0,0.0,HOLD_NO_ENTRY
2026-01-13 04:00:00+00:00,OPEN_LONG,LONG,0.057184234261512756,0.057184234261512756,91399.17618,0.00045747387409210205,2.0,1.1436846852302551,0.057184234261512756,0.0,OPEN_LONG_SIGNAL
2026-01-13 05:00:00+00:00,ADD,LONG,0.084357500821352,0.084357500821352,91497.59586,0.000217386132478714,2.0,1.68715001642704,0.084357500821352,0.0,ADD_SIGNAL_CONFIRMED
2026-01-13 06:00:00+00:00,ADD,LONG,0.11213072612881661,0.11213072612881661,91902.07673999999,0.00022218580245971688,2.0,2.242614522576332,0.11213072612881661,0.0,ADD_SIGNAL_CONFIRMED
2026-01-13 07:00:00+00:00,HOLD,LONG,0.05163846760988236,0.05163846760988236,92165.32938,0.000483938068151474,2.0,1.032769352197647,0.05163846760988236,0.0,HOLD_SIGNAL_VALID
2026-01-13 08:00:00+00:00,HOLD,LONG,0.05077335685491562,0.05077335685491562,91926.3816,0.0004908589541912079,2.0,1.0154671370983124,0.05077335685491562,0.0,HOLD_SIGNAL_VALID
