ts,price,atr,p_up,p_down,p_flat,p_risk,edge,conf,pred_cum_ret_5,action,reason_code,blocked,blocked_reason,portfolio_equity,position_ratio,state,trend_is_downtrend,trend_is_strong_downtrend,trend_score,ret_3_atr,ret_6_atr,ema_fast,ema_slow,breakdown_low_n,trend_reason_codes,fallback_action,reverse_confirm_count,hold_mode,trend_hold_bars,trend_break_count,entry_was_sentinel,sentinel_bars,peak_profit_atr,is_crash,is_model_blind_crash,crash_score,crash_reason_codes,drawdown_24h,ret_12_atr,range_expansion,entry_was_crash,crash_regime_id,trend_direction,trend_strength,trend_phase,trend_score_up,trend_score_down,trend_confidence,trend_age,trend_invalid_count,trend_is_confirmed,trend_is_broken,trend_is_accelerating,trend_is_exhausted,trend_signal_reason_codes,bp_p_long_entry_zone,bp_p_short_entry_zone,bp_p_hold_long,bp_p_hold_short,bp_p_exit_long,bp_p_exit_short,bp_expected_opportunity_roi,is_slow_uptrend,is_stable_slow_uptrend,slow_up_score,slope_24_atr,slope_48_atr,persistence_above_ema_fast,persistence_above_ema_mid,slow_up_exit_votes,entry_was_slow_up,slow_up_reason_codes,lifecycle,lifecycle_bars,min_hold_until,trend_exit_votes,bp_exit_count,runner_active,profit_atr
2026-01-14 03:00:00+00:00,95665.7,684.0820373478945,0.32003822922706604,0.3102039694786072,0.3697578012943268,0.435824453830719,0.009834259748458862,0.009834259748458862,0.3547917604446411,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,-2.3764693578311813,0.6863211930256147,2.3764693578311813,94775.75348057611,93317.93414126472,0,,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.01236789426792495,3.3004813410292537,0.6217621646063866,0,0,UP,NORMAL,CONTINUATION,4.0,0.0,1.0,14,0,1,0,0,0,CLOSE_GT_EMA_FAST|EMA_BULL_STACK|RET12_UP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 04:00:00+00:00,95192.2,676.7976061087596,0.3178575932979584,0.3063664436340332,0.3757759928703308,0.4288541078567505,0.011491149663925171,0.011491149663925171,0.3784107565879822,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,0.7953633333530135,0.0011820372778835633,-0.7953633333530135,94819.48133316364,93336.88255380615,0,,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.017256206401366048,2.7343477330541925,0.6685534024335312,0,0,UP,NORMAL,CONTINUATION,4.0,0.0,1.0,15,0,1,0,0,0,CLOSE_GT_EMA_FAST|EMA_BULL_STACK|RET12_UP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 05:00:00+00:00,94963.1,653.3692056724199,0.3250986933708191,0.3028053641319275,0.3720960021018982,0.4279319941997528,0.0222933292388916,0.0222933292388916,0.3447848856449127,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,0.6307306748194161,-0.5154819007017144,-0.6307306748194161,94894.16634707022,93448.90406529664,0,,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.019621385513871492,2.712861249981652,0.6743357476736541,0,0,UP,NORMAL,CONTINUATION,4.0,0.0,1.0,16,0,1,0,0,0,CLOSE_GT_EMA_FAST|EMA_BULL_STACK|RET12_UP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 06:00:00+00:00,94984.8,647.657119552962,0.327181875705719,0.3028620481491089,0.3699561059474945,0.42798036336898804,0.024319827556610107,0.024319827556610107,0.3524719476699829,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,0.32640728190544815,-1.0513279008960448,-0.32640728190544815,94988.73246519452,93555.42111092362,0,CLOSE_LT_EMA_FAST,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.019397359382307244,2.167504930647501,0.7394317734958803,0,0,UP,WEAK,CONTINUATION,3.0,1.0,0.6666666666666666,16,1,0,0,0,0,EMA_BULL_STACK|RET12_UP|CLOSE_LT_EMA_FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 07:00:00+00:00,95166.6,631.0173252991788,0.32943060994148254,0.30788710713386536,0.36268216371536255,0.42030778527259827,0.021543502807617188,0.021543502807617188,0.3503037095069885,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,0.039301615036053325,-0.04056940906947961,-0.039301615036053325,95038.94310478437,93591.73313592646,0,,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.017520495293902538,1.5642993629881725,0.6531180536896409,0,0,UP,NORMAL,CONTINUATION,4.0,0.0,1.0,17,0,1,0,0,0,CLOSE_GT_EMA_FAST|EMA_BULL_STACK|RET12_UP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 08:00:00+00:00,94866.3,616.8303734920942,0.3199775218963623,0.3082510828971863,0.37177136540412903,0.4135667383670807,0.011726438999176025,0.011726438999176025,0.33184751868247986,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,0.7029485230197547,-0.15693131233467636,-0.7029485230197547,94970.74451797831,93600.99001612906,0,CLOSE_LT_EMA_FAST,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.02062072788877556,0.8384801109451624,0.6906359393232214,0,0,UP,WEAK,CONTINUATION,3.0,1.0,0.6666666666666666,17,1,0,0,0,0,EMA_BULL_STACK|CLOSE_LT_EMA_FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 09:00:00+00:00,95051.6,594.9710610998019,0.3257327973842621,0.3057001233100891,0.3685670495033264,0.4175458252429962,0.020032674074172974,0.020032674074172974,0.3860090970993042,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,1.0321510408671468,0.11227436822981499,-1.0321510408671468,95210.90696594224,93706.23807196392,0,CLOSE_LT_EMA_FAST,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.018707730553344404,1.700250761995158,0.5811584019273215,0,0,UP,WEAK,EARLY,3.0,1.0,0.6666666666666666,0,2,0,1,0,0,EMA_BULL_STACK|RET12_UP|CLOSE_LT_EMA_FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 10:00:00+00:00,95050.1,582.1231281641022,0.3278677463531494,0.31015339493751526,0.3619788587093353,0.4203850030899048,0.017714351415634155,0.017714351415634155,0.376518189907074,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,0.24410643234215024,-0.200129481828728,-0.24410643234215024,95138.30583395003,93785.45316794999,0,CLOSE_LT_EMA_FAST,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.01872321623064155,-1.1688248878649388,0.5785389182675816,0,0,NONE,WEAK,NONE,2.0,1.0,0.5,0,3,0,1,0,0,EMA_BULL_STACK|CLOSE_LT_EMA_FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 11:00:00+00:00,94763.6,566.1500475809521,0.3233896493911743,0.3119348883628845,0.36467546224594116,0.418510764837265,0.011454761028289795,0.011454761028289795,0.3928636312484741,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,0.3523800816628459,-0.181400673617911,-0.3523800816628459,95056.54612797165,93863.17426995347,0,CLOSE_LT_EMA_FAST,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.021680980594381505,-1.0802789871929497,0.5395863784792455,0,0,NONE,WEAK,NONE,2.0,1.0,0.5,0,4,0,1,0,0,EMA_BULL_STACK|CLOSE_LT_EMA_FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
2026-01-14 12:00:00+00:00,95041.5,560.4821870394558,0.32293379306793213,0.30732986330986023,0.36973634362220764,0.4137284755706787,0.0156039297580719,0.0156039297580719,0.36477819085121155,HOLD,HOLD_NO_ENTRY,0,,0.8261888673335221,0.0,FLAT,0,0,-0.10116289386375384,-0.018020198025124428,0.10116289386375384,95053.58474272843,93889.14196231794,0,CLOSE_LT_EMA_FAST,,0,NORMAL,0,0,0,0,0.0,0,0,0.0,,-0.018812000780478066,-0.2760123400480287,0.6183432678391878,0,0,NONE,WEAK,NONE,2.0,1.0,0.5,0,5,0,1,0,0,EMA_BULL_STACK|CLOSE_LT_EMA_FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,DISABLED,NONE,0,-1,0,0,0,0.0
