time,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,close_time,amount
2025-11-21 18:00:00+00:00,84842.8,85055.6,83250.1,84534.2,22618.862,1903264315.3792,605372,10112.536,850931214.2912,2025-11-21 18:59:59.999000+00:00,1903264315.3792
2025-11-21 19:00:00+00:00,84534.2,84982.0,84025.9,84167.2,8215.863,694772175.1215,295017,3757.688,317810859.9587,2025-11-21 19:59:59.999000+00:00,694772175.1215
2025-11-21 20:00:00+00:00,84167.1,84618.2,83418.4,84529.0,11924.183,1002700813.0915,386277,6346.449,533713526.9982,2025-11-21 20:59:59.999000+00:00,1002700813.0915
2025-11-21 21:00:00+00:00,84529.0,85374.5,84312.2,85142.4,6605.103,560830609.3031,234477,3630.415,308274418.8018,2025-11-21 21:59:59.999000+00:00,560830609.3031
2025-11-21 22:00:00+00:00,85142.5,85369.6,84215.1,84242.3,7049.447,597415986.1121,196235,3107.178,263319993.2595,2025-11-21 22:59:59.999000+00:00,597415986.1121
2025-11-21 23:00:00+00:00,84242.2,85322.4,84078.0,85093.5,5884.091,498790015.998,178201,3227.766,273723987.0964,2025-11-21 23:59:59.999000+00:00,498790015.998
2025-11-22 00:00:00+00:00,85093.6,85599.9,84500.9,84695.1,7646.934,650284667.267,230986,3584.477,304925363.967,2025-11-22 00:59:59.999000+00:00,650284667.267
2025-11-22 01:00:00+00:00,84695.1,85175.2,84537.4,85143.0,4233.382,359441928.1824,173967,2159.994,183401756.9606,2025-11-22 01:59:59.999000+00:00,359441928.1824
2025-11-22 02:00:00+00:00,85143.5,85172.8,84243.3,84492.0,4403.321,372421676.0977,169817,1845.815,156103020.2221,2025-11-22 02:59:59.999000+00:00,372421676.0977
2025-11-22 03:00:00+00:00,84492.0,84579.4,84180.0,84414.1,3614.25,304919709.3563,146984,1837.514,155033828.8041,2025-11-22 03:59:59.999000+00:00,304919709.3563
2025-11-22 04:00:00+00:00,84414.0,84524.9,83792.0,84206.7,5858.185,492440196.7095,203404,2703.175,227269551.1579,2025-11-22 04:59:59.999000+00:00,492440196.7095
2025-11-22 05:00:00+00:00,84206.7,84284.1,83833.8,84250.0,3480.501,292556044.3036,138454,1799.574,151269070.6456,2025-11-22 05:59:59.999000+00:00,292556044.3036
2025-11-22 06:00:00+00:00,84250.0,84764.3,84040.3,84597.5,4292.455,362570005.4158,151857,2273.821,192101657.1661,2025-11-22 06:59:59.999000+00:00,362570005.4158
2025-11-22 07:00:00+00:00,84597.4,84632.7,84355.4,84537.4,2334.151,197224945.2507,101415,1237.931,104603602.0832,2025-11-22 07:59:59.999000+00:00,197224945.2507
2025-11-22 08:00:00+00:00,84537.4,84546.4,83896.6,83979.3,4647.685,391004381.107,140625,1980.365,166593903.1666,2025-11-22 08:59:59.999000+00:00,391004381.107
2025-11-22 09:00:00+00:00,83979.3,84315.6,83821.3,83898.5,4333.553,364122662.8438,144210,2212.56,185922071.0199,2025-11-22 09:59:59.999000+00:00,364122662.8438
2025-11-22 10:00:00+00:00,83898.6,84187.3,83456.0,83666.1,6219.994,520768924.365,174169,3168.708,265347488.3844,2025-11-22 10:59:59.999000+00:00,520768924.365
2025-11-22 11:00:00+00:00,83666.0,84328.5,83552.7,84066.2,5462.812,459182935.142,157959,2906.148,244280873.7656,2025-11-22 11:59:59.999000+00:00,459182935.142
2025-11-22 12:00:00+00:00,84066.2,84131.0,83578.5,83845.2,4759.96,398782829.1617,141442,2377.588,199171924.1557,2025-11-22 12:59:59.999000+00:00,398782829.1617
