entry_ts,exit_ts,side,entry_price,exit_price,max_position_ratio,avg_position_ratio,add_count,bars_held,entry_reason,exit_reason,gross_pnl,fee,slippage_cost,net_pnl,return_on_equity,return_on_margin,max_adverse_excursion,max_favorable_excursion,entry_trend_context,exit_trend_context,entry_was_probe,entry_was_sentinel,entry_was_crash,hold_mode,entry_trend_direction,entry_trend_strength,entry_trend_phase,exit_trend_direction,exit_trend_phase,trend_upgrade_done,trend_exit_reason,lifecycle,runner_active
2025-08-18 02:00:00+00:00,2025-08-18 04:00:00+00:00,SHORT,116190.75720000001,115264.8,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_SHORT_REVERSE_CONFIRMED,0.009563141395897583,0.00047999999999999996,0.0,0.009083141395897583,0.009563141395897583,0.15938568993162638,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,EARLY,DOWN,EARLY,0,,PROBATION,0
2025-08-19 17:00:00+00:00,2025-08-20 03:00:00+00:00,SHORT,113316.3322,113386.8,0.06,0.06,0,10,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-0.0007462415907598379,0.00047999999999999996,0.0,-0.0012262415907598378,-0.0007462415907598379,-0.012437359845997299,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,EARLY,NONE,NONE,0,,PROBATION,0
2025-08-20 06:00:00+00:00,2025-08-20 14:00:00+00:00,SHORT,113649.06564,112632.7,0.11602657437324523,0.11602657437324523,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,0.02075255486805627,0.000928212594985962,0.0,0.019824342273070308,0.02075255486805627,0.1788603600524953,0.0,0.0,EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,NONE,WEAK,NONE,DOWN,EARLY,0,,NONE,0
2025-08-20 18:00:00+00:00,2025-08-20 20:00:00+00:00,SHORT,114127.17,114216.3,0.08937528356909752,0.08937528356909752,1,2,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,-0.001395989933775468,0.0007150022685527801,0.0,-0.0021109922023282482,-0.001395989933775468,-0.015619418233187535,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,TREND,UP,WEAK,REVERSAL_RISK,NONE,NONE,0,CLOSE_TREND_EXIT_CONFIRMED,NONE,0
2025-08-20 21:00:00+00:00,2025-08-21 05:00:00+00:00,SHORT,114308.03382,113757.4,0.11766913905739784,0.11766913905739784,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,0.011336492347915795,0.0009413531124591827,0.0,0.010395139235456612,0.011336492347915795,0.096342103279824,0.0,0.0,EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,,NONE,0
2025-08-22 07:00:00+00:00,2025-08-22 15:00:00+00:00,SHORT,112924.31062,115744.5,0.11016105040907861,0.11016105040907861,2,8,OPEN_SHORT_SIGNAL,CLOSE_HARD_STOP,-0.055023585753607274,0.000881288403272629,0.0,-0.055904874156879905,-0.055023585753607274,-0.4994831253812433,0.0,0.0,EMA_FAST_LT_EMA_SLOW,,0,0,0,TREND,NONE,NONE,NONE,UP,EARLY,0,,TREND,0
2025-08-23 17:00:00+00:00,2025-08-24 01:00:00+00:00,LONG,114990.89357999999,115335.0,0.11180505454540253,0.11180505454540253,2,8,OPEN_LONG_SIGNAL,CLOSE_MAX_HOLD_BARS,0.006691458055460469,0.0008944404363632202,0.0,0.005797017619097248,0.006691458055460469,0.05984933402758779,0.0,0.0,CLOSE_LT_EMA_FAST,,0,0,0,NORMAL,DOWN,WEAK,CONTINUATION,NONE,NONE,0,,NONE,0
2025-08-25 21:00:00+00:00,2025-08-26 08:00:00+00:00,SHORT,109479.19978000001,110244.2,0.06,0.06,0,11,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-0.008385156868562421,0.00047999999999999996,0.0,-0.00886515686856242,-0.008385156868562421,-0.13975261447604037,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,NONE,NONE,0,,PROBATION,0
2025-09-01 17:00:00+00:00,2025-09-01 22:00:00+00:00,LONG,108754.2465,107744.5,0.10947625562548638,0.10947625562548638,2,5,OPEN_LONG_SIGNAL,CLOSE_HARD_STOP,-0.02032900222446753,0.000875810045003891,0.0,-0.02120481226947142,-0.02032900222446753,-0.18569325474568826,0.0,0.0,CLOSE_LT_EMA_FAST,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,NORMAL,NONE,WEAK,NONE,NONE,NONE,0,,NONE,0
2025-09-01 23:00:00+00:00,2025-09-03 23:00:00+00:00,LONG,108407.97726,111899.9,0.05430231580510736,0.05430231580510736,2,48,OPEN_LONG_SIGNAL,CLOSE_TREND_MAX_HOLD_BARS,0.034982571612740654,0.0004344185264408589,0.0,0.03454815308629979,0.034982571612740654,0.6442187795138269,0.0,0.0,CLOSE_LT_EMA_FAST,,0,0,0,TREND,NONE,NONE,NONE,UP,REVERSAL_RISK,1,CLOSE_TREND_MAX_HOLD_BARS,RUNNER,1
2025-09-04 01:00:00+00:00,2025-09-04 04:00:00+00:00,LONG,112037.70306,111107.1,0.04251008816063404,0.04251008816063404,1,3,OPEN_LONG_SIGNAL,CLOSE_HARD_STOP,-0.007061911667712399,0.00034008070528507235,0.0,-0.007401992372997471,-0.007061911667712399,-0.16612319506436588,0.0,0.0,,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,NORMAL,UP,NORMAL,EARLY,NONE,NONE,0,,NONE,0
2025-09-05 21:00:00+00:00,2025-09-05 22:00:00+00:00,LONG,111604.11636,110544.0,0.0583052545785904,0.0583052545785904,0,1,OPEN_LONG_SIGNAL,CLOSE_HARD_STOP,-0.011076715853982965,0.00046644203662872313,0.0,-0.011543157890611689,-0.011076715853982965,-0.18997800342424573,0.0,0.0,,CLOSE_LT_EMA_FAST,0,0,0,NORMAL,NONE,WEAK,NONE,DOWN,REVERSAL_RISK,0,,NONE,0
2025-09-06 00:00:00+00:00,2025-09-06 05:00:00+00:00,LONG,110636.92296,110834.7,0.07336301915347576,0.07336301915347576,2,5,OPEN_LONG_SIGNAL,CLOSE_LONG_DOWNTREND_CONFIRMED,0.0026229075041943493,0.0005869041532278061,0.0,0.0020360033509665434,0.0026229075041943493,0.03575244768358313,0.0,0.0,CLOSE_LT_EMA_FAST,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,DOWN,WEAK,REVERSAL_RISK,NONE,NONE,0,CLOSE_LONG_DOWNTREND_CONFIRMED,NONE,0
2025-09-06 09:00:00+00:00,2025-09-06 11:00:00+00:00,LONG,110928.6813,110734.2,0.030540169775485994,0.030540169775485994,0,2,OPEN_LONG_SIGNAL,CLOSE_LONG_DOWNTREND_CONFIRMED,-0.0010708667678279175,0.0002443213582038879,0.0,-0.0013151881260318053,-0.0010708667678279175,-0.03506420480633613,0.0,0.0,EMA_FAST_LT_EMA_SLOW,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,NONE,NONE,NONE,DOWN,EARLY,0,CLOSE_LONG_DOWNTREND_CONFIRMED,NONE,0
2025-09-12 21:00:00+00:00,2025-09-13 00:00:00+00:00,SHORT,116065.08234000001,115978.4,0.11176472306251527,0.11176472306251527,2,3,OPEN_SHORT_SIGNAL,CLOSE_REVERSE_SIGNAL,0.0016694129757530908,0.000894117784500122,0.0,0.0007752951912529688,0.0016694129757530908,0.014936850644897224,0.0,0.0,,,0,0,0,NORMAL,UP,NORMAL,EARLY,UP,EARLY,0,,NONE,0
2025-09-13 11:00:00+00:00,2025-09-13 12:00:00+00:00,SHORT,115859.52346,115913.0,0.058132086694240574,0.058132086694240574,0,1,OPEN_SHORT_SIGNAL,CLOSE_REVERSE_SIGNAL,-0.000536633116821248,0.00046505669355392456,0.0,-0.0010016898103751726,-0.000536633116821248,-0.009231272217076886,0.0,0.0,,,0,0,0,NORMAL,UP,WEAK,EARLY,UP,EARLY,0,,NONE,0
2025-09-14 00:00:00+00:00,2025-09-14 10:00:00+00:00,SHORT,115839.52746,115996.2,0.1138793095946312,0.1138793095946312,2,10,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,-0.003080427049186306,0.0009110344767570495,0.0,-0.003991461525943356,-0.003080427049186306,-0.02704992733229155,0.0,0.0,,,0,0,0,TREND,NONE,NONE,NONE,UP,REVERSAL_RISK,0,CLOSE_TREND_EXIT_CONFIRMED,TREND,0
2025-09-14 11:00:00+00:00,2025-09-14 21:00:00+00:00,SHORT,115956.30410000001,115745.1,0.0823032905906439,0.0823032905906439,1,10,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,0.002998162549445318,0.0006584263247251512,0.0,0.002339736224720167,0.002998162549445318,0.036428222103019346,0.0,0.0,,EMA_FAST_LT_EMA_SLOW,0,0,0,TREND,UP,WEAK,REVERSAL_RISK,NONE,NONE,0,CLOSE_TREND_EXIT_CONFIRMED,TREND,0
2025-09-19 05:00:00+00:00,2025-09-19 12:00:00+00:00,LONG,116952.78588,116343.3,0.017264140117913485,0.017264140117913485,2,7,OPEN_LONG_SIGNAL,CLOSE_HARD_STOP,-0.001799401280274946,0.00013811312094330787,0.0,-0.001937514401218254,-0.001799401280274946,-0.10422768049755719,0.0,0.0,CLOSE_LT_EMA_FAST,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,NONE,NONE,NONE,DOWN,REVERSAL_RISK,0,,NONE,0
2025-09-22 03:00:00+00:00,2025-09-22 04:00:00+00:00,SHORT,114103.27478,114602.9,0.06,0.06,0,1,OPEN_SHORT_CRASH,CLOSE_HARD_STOP,-0.005254452732894513,0.00047999999999999996,0.0,-0.005734452732894513,-0.005254452732894513,-0.08757421221490855,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,DOWN,CONTINUATION,0,,PROBATION,0
2025-09-28 07:00:00+00:00,2025-09-28 15:00:00+00:00,LONG,109380.67176,109801.2,0.027782962843775752,0.027782962843775752,2,8,OPEN_LONG_SIGNAL,CLOSE_MAX_HOLD_BARS,0.002136304390653964,0.000222263702750206,0.0,0.001914040687903758,0.002136304390653964,0.07689260510718217,0.0,0.0,CLOSE_LT_EMA_FAST,,0,0,0,NORMAL,NONE,NONE,NONE,UP,REVERSAL_RISK,0,,NONE,0
2025-10-05 11:00:00+00:00,2025-10-05 13:00:00+00:00,SHORT,122956.4038,123035.9,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-0.0007758476748812732,0.00047999999999999996,0.0,-0.0012558476748812733,-0.0007758476748812732,-0.012930794581354554,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,1,CRASH,NONE,WEAK,NONE,NONE,NONE,0,,PROBATION,0
2025-10-07 17:00:00+00:00,2025-10-08 03:00:00+00:00,SHORT,121597.27568,121995.1,0.08652370706200599,0.08652370706200599,1,10,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-0.005661514163591284,0.0006921896564960479,0.0,-0.006353703820087332,-0.005661514163591284,-0.06543309753862071,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,NONE,NONE,0,,PROBATION,0
2025-10-10 21:00:00+00:00,2025-10-11 11:00:00+00:00,SHORT,114177.55992,112063.1,0.06,0.06,0,14,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.022222859778907707,0.00047999999999999996,0.0,0.021742859778907705,0.022222859778907707,0.37038099631512844,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW|LOWER_HIGH_LOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,EXHAUSTION,NONE,NONE,0,,PROBATION,0
2025-10-14 16:00:00+00:00,2025-10-14 22:00:00+00:00,LONG,112845.46457999999,113060.1,0.11261660605669022,0.11261660605669022,2,6,OPEN_LONG_SIGNAL,CLOSE_REVERSE_SIGNAL,0.004284002486040288,0.0009009328484535218,0.0,0.003383069637586766,0.004284002486040288,0.03804059308876489,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,,NONE,0
2025-10-17 09:00:00+00:00,2025-10-17 16:00:00+00:00,SHORT,104824.23096,106750.0,0.06,0.06,0,7,OPEN_SHORT_CRASH,CLOSE_HARD_STOP,-0.022045693317624498,0.00047999999999999996,0.0,-0.0225256933176245,-0.022045693317624498,-0.3674282219604083,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,EARLY,NONE,NONE,0,,PROBATION,0
2025-10-29 13:00:00+00:00,2025-10-30 08:00:00+00:00,SHORT,113079.77952,111313.6,0.08305653188377618,0.08305653188377618,1,19,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,0.025945000288828245,0.0006644522550702094,0.0,0.025280548033758034,0.025945000288828245,0.3123776023435937,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,TREND,NONE,NONE,NONE,NONE,NONE,0,CLOSE_TREND_EXIT_CONFIRMED,TREND,0
2025-11-03 04:00:00+00:00,2025-11-03 06:00:00+00:00,SHORT,107864.4228,107556.8,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_SHORT_REVERSE_CONFIRMED,0.003422327310687624,0.00047999999999999996,0.0,0.002942327310687624,0.003422327310687624,0.0570387885114604,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,EARLY,DOWN,EARLY,0,,PROBATION,0
2025-11-04 18:00:00+00:00,2025-11-05 03:00:00+00:00,SHORT,101054.58504,101633.8,0.06,0.06,0,9,OPEN_SHORT_CRASH,CLOSE_REVERSE_SIGNAL,-0.006878044689658319,0.00047999999999999996,0.0,-0.007358044689658319,-0.006878044689658319,-0.11463407816097199,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,CONTINUATION,DOWN,CONTINUATION,0,,PROBATION,0
2025-11-13 21:00:00+00:00,2025-11-13 23:00:00+00:00,SHORT,98112.47358,99820.5,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_HARD_STOP,-0.02089063326212791,0.00047999999999999996,0.0,-0.02137063326212791,-0.02089063326212791,-0.34817722103546517,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,DOWN,CONTINUATION,0,,PROBATION,0
2025-11-15 20:00:00+00:00,2025-11-16 05:00:00+00:00,SHORT,95948.50646,95781.0,0.10384089778363705,0.10384089778363705,1,9,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,0.0036256992073577963,0.0008307271822690965,0.0,0.0027949720250887,0.0036256992073577963,0.034915907746794574,0.0,0.0,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,TREND,NONE,NONE,NONE,NONE,NONE,0,CLOSE_TREND_EXIT_CONFIRMED,TREND,0
2025-11-20 17:00:00+00:00,2025-11-21 14:00:00+00:00,SHORT,87837.9289,84065.3,0.05687172144651413,0.05687172144651413,1,21,OPEN_SHORT_CRASH,CLOSE_CRASH_MAX_HOLD_BARS,0.04885267733626374,0.00045497377157211307,0.0,0.04839770356469163,0.04885267733626374,0.8589976897781788,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,WEAK,EARLY,DOWN,CONTINUATION,0,,PROBATION,0
2025-12-01 01:00:00+00:00,2025-12-01 15:00:00+00:00,SHORT,86953.20588000001,86017.4,0.06,0.06,0,14,OPEN_SHORT_CRASH,CLOSE_CRASH_TRAIL,0.012914613608953887,0.00047999999999999996,0.0,0.012434613608953888,0.012914613608953887,0.21524356014923146,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,DOWN,CONTINUATION,0,,PROBATION,0
2025-12-04 07:00:00+00:00,2025-12-04 15:00:00+00:00,LONG,93121.6206,91859.3,0.05575751811265946,0.05575751811265946,2,8,OPEN_LONG_SIGNAL,CLOSE_HARD_STOP,-0.015116546139336131,0.0004460601449012756,0.0,-0.015562606284237406,-0.015116546139336131,-0.27111224909245013,0.0,0.0,CLOSE_LT_EMA_FAST,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,,NONE,0
2025-12-11 22:00:00+00:00,2025-12-12 06:00:00+00:00,SHORT,92805.03528000001,92404.9,0.12044608816504479,0.12044608816504479,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,0.010386231537420281,0.0009635687053203583,0.0,0.009422662832099922,0.010386231537420281,0.08623137285445287,0.0,0.0,EMA_FAST_LT_EMA_SLOW,,0,0,0,NORMAL,NONE,WEAK,NONE,UP,EARLY,0,,NONE,0
2025-12-15 17:00:00+00:00,2025-12-16 06:00:00+00:00,SHORT,86343.32788000001,85983.8,0.0863399377465248,0.0863399377465248,1,13,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.007190275274189674,0.0006907195019721985,0.0,0.0064995557722174755,0.007190275274189674,0.0832786710513824,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,NONE,NONE,0,,PROBATION,0
2025-12-17 16:00:00+00:00,2025-12-18 00:00:00+00:00,SHORT,87173.5618,86201.6,0.11127137318253517,0.11127137318253517,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,0.024812918489001676,0.0008901709854602813,0.0,0.023922747503541394,0.024812918489001676,0.22299462817176985,0.0,0.0,CLOSE_LT_EMA_FAST,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,DOWN,WEAK,EARLY,DOWN,REVERSAL_RISK,0,,NONE,0
2025-12-18 20:00:00+00:00,2025-12-19 01:00:00+00:00,SHORT,84430.1106,85572.8,0.1112950912117958,0.1112950912117958,2,5,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-0.030125679119921117,0.0008903607296943663,0.0,-0.031016039849615484,-0.030125679119921117,-0.27068290965853664,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,NONE,WEAK,NONE,DOWN,EARLY,0,,PROBATION,0
2025-12-24 14:00:00+00:00,2025-12-24 18:00:00+00:00,SHORT,87233.0499,87284.6,0.08668462559580803,0.08668462559580803,1,4,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,-0.0010245202072035149,0.0006934770047664642,0.0,-0.001717997211969979,-0.0010245202072035149,-0.011818937904636454,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,TREND,NONE,NONE,NONE,NONE,NONE,0,CLOSE_TREND_EXIT_CONFIRMED,TREND,0
2025-12-24 19:00:00+00:00,2025-12-25 03:00:00+00:00,SHORT,87417.513,87847.9,0.11855643615126611,0.11855643615126611,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,-0.011673896255967276,0.000948451489210129,0.0,-0.012622347745177405,-0.011673896255967276,-0.0984669971107478,0.0,0.0,EMA_FAST_LT_EMA_SLOW,,0,0,0,NORMAL,NONE,NONE,NONE,UP,REVERSAL_RISK,0,,NONE,0
2025-12-25 04:00:00+00:00,2025-12-25 12:00:00+00:00,SHORT,87794.03768000001,87485.2,0.11654714867472649,0.11654714867472649,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,0.008199680059940703,0.0009323771893978119,0.0,0.007267302870542891,0.008199680059940703,0.07035504646128526,0.0,0.0,,CLOSE_LT_EMA_FAST,0,0,0,NORMAL,UP,WEAK,REVERSAL_RISK,NONE,NONE,0,,NONE,0
